description,score,max
code inspection,202,275
bonus,40,0
Bazaar/Client/client.pp exists,5,5
Bazaar/Server/server.pp exists,5,5
"[0-9]-{in,out}.json exists",5,5
student tests passes instructor executable,50,100
student executable passes instructor tests,50,100
xgames-resources exists,5,5
Bazaar/Client/referee.pp exists,5,5
Bazaar/Server/player.pp exists,5,5
total,372,505
